Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
AAL,American Airlines Group Inc,Common stocks,Mid cap,Industrials,"$9,066,117,374 ",0.00%,0,0,0,Analyze
HII,Huntington Ingalls Industries Inc,Common stocks,Mid cap,Industrials,"$8,939,190,135 ",2.09%,0,0,0,Analyze
AAP,Advance Auto Parts Inc,Common stocks,Mid cap,Consumer Discretionary,"$8,916,136,026 ",3.67%,0,0,0,Analyze
BBWI,"Bath & Body Works, Inc.",Common stocks,Mid cap,Consumer Discretionary,"$8,899,747,095 ",2.04%,0,0,0,Analyze
FFIV,F5 Networks Inc,Common stocks,Mid cap,Information Technology,"$8,892,899,939 ",0.00%,0,0,0,Analyze
WYNN,Wynn Resorts Ltd,Common stocks,Mid cap,Consumer Discretionary,"$8,841,859,506 ",0.00%,0,0,0,Analyze
FRT,Federal Realty Investment Trust,REITs,Mid cap,Real Estate,"$8,737,327,846 ",2.97%,0,0,0,Analyze
IVZ,Invesco Ltd,Common stocks,Mid cap,Financials,"$8,540,854,938 ",3.79%,0,0,0,Analyze
TPR,Tapestry,Common stocks,Mid cap,Consumer Discretionary,"$8,407,139,792 ",2.98%,0,0,0,Analyze
RHI,Robert Half,Common stocks,Mid cap,Industrials,"$8,201,404,336 ",2.19%,0,0,0,Analyze
FBHS,Fortune Brands Home And Security,Common stocks,Mid cap,Industrials,"$8,198,544,879 ",1.71%,0,0,0,Analyze
PNW,Pinnacle West Corp,Common stocks,Mid cap,Utilities,"$8,181,168,079 ",4.64%,0,0,0,Analyze
DISH,Dish Network Corp Class A,Common stocks,Mid cap,Communication Services,"$8,167,568,372 ",0.00%,0,0,0,Analyze
HAS,Hasbro Inc,Common stocks,Mid cap,Consumer Discretionary,"$8,068,603,639 ",4.69%,0,0,0,Analyze
WHR,Whirlpool Corp,Common stocks,Mid cap,Consumer Discretionary,"$8,052,990,288 ",4.66%,0,0,0,Analyze
SBNY,Signature Bank,Common stocks,Mid cap,Financials,"$8,004,107,810 ",1.69%,0,0,0,Analyze
ZION,Zions Bancorporation,Common stocks,Mid cap,Financials,"$7,594,597,193 ",3.08%,0,0,0,Analyze
CTLT,Catalent Inc,Common stocks,Mid cap,Health Care,"$7,571,068,189 ",0.00%,0,0,0,Analyze
PNR,Pentair,Common stocks,Mid cap,Industrials,"$7,302,081,934 ",1.88%,0,0,0,Analyze
SEE,Sealed Air Corp,Common stocks,Mid cap,Materials,"$7,296,525,410 ",1.58%,0,0,0,Analyze
RL,Ralph Lauren Corp Class A,Common stocks,Mid cap,Consumer Discretionary,"$6,918,304,600 ",2.78%,0,0,0,Analyze
NCLH,Norwegian Cruise Line Holdings Ltd,Common stocks,Mid cap,Consumer Discretionary,"$6,910,896,040 ",0.00%,0,0,0,Analyze
XRAY,Dentsply Sirona Inc,Common stocks,Mid cap,Health Care,"$6,595,645,781 ",1.57%,0,0,0,Analyze
DXC,DXC Technology Company,Common stocks,Mid cap,Information Technology,"$6,524,649,724 ",0.00%,0,0,0,Analyze
AIZ,Assurant Inc,Common stocks,Mid cap,Financials,"$6,522,568,224 ",2.19%,0,0,0,Analyze
GNRC,Generac Holdings Inc,Common stocks,Mid cap,Industrials,"$6,424,339,163 ",0.00%,0,0,0,Analyze
MHK,Mohawk Industries Inc,Common stocks,Mid cap,Consumer Discretionary,"$6,280,339,063 ",0.00%,0,0,0,Analyze
DVA,Davita Inc,Common stocks,Mid cap,Health Care,"$6,270,960,000 ",0.00%,0,0,0,Analyze
LNC,Lincoln National Corp,Common stocks,Mid cap,Financials,"$6,117,139,024 ",4.91%,0,0,0,Analyze
OGN,Organon & Co.,Common stocks,Mid cap,Health Care,"$6,084,396,663 ",5.67%,0,0,0,Analyze
LUMN,"CenturyLink, Inc.",Common stocks,Mid cap,Communication Services,"$6,083,347,117 ",16.45%,0,0,0,Analyze
ALK,Alaska Air Group Inc,Common stocks,Mid cap,Industrials,"$5,819,319,686 ",0.00%,0,0,0,Analyze
NWL,Newell Brands Inc,Common stocks,Mid cap,Consumer Discretionary,"$5,442,976,000 ",6.87%,0,0,0,Analyze
VNO,Vornado Realty Trust,REITs,Mid cap,Real Estate,"$4,613,191,250 ",8.55%,0,0,0,Analyze
TAP,Molson Coors Brewing Class B,Common stocks,Small cap,Consumer Staples,"$790,323,966 ",2.76%,0,0,0,Analyze
